Rank,Ligand,Initial_1VYW_Affinity,Mean_Affinity,Median_Affinity,Best_Affinity,Worst_Affinity,SD_Affinity,Successful_Receptors,Receptor,Affinity
25,ligand_7391,-11.09,-9.764,-10.6,-11.13,-7.94,1.602,5,1W98,-8.11
26,ligand_4377,-10.52,-9.724,-10.14,-12,-7.57,1.734,5,1VYW,-12
26,ligand_4377,-10.52,-9.724,-10.14,-12,-7.57,1.734,5,7RWF,-10.14
26,ligand_4377,-10.52,-9.724,-10.14,-12,-7.57,1.734,5,5A14,-10.43
26,ligand_4377,-10.52,-9.724,-10.14,-12,-7.57,1.734,5,5IF1,-8.48
26,ligand_4377,-10.52,-9.724,-10.14,-12,-7.57,1.734,5,1W98,-7.57
27,ligand_3263,-10.62,-9.712,-9.786,-10.61,-8.88,0.78,5,1VYW,-10.61
27,ligand_3263,-10.62,-9.712,-9.786,-10.61,-8.88,0.78,5,7RWF,-8.88
27,ligand_3263,-10.62,-9.712,-9.786,-10.61,-8.88,0.78,5,5A14,-10.32
27,ligand_3263,-10.62,-9.712,-9.786,-10.61,-8.88,0.78,5,5IF1,-8.96
27,ligand_3263,-10.62,-9.712,-9.786,-10.61,-8.88,0.78,5,1W98,-9.79
28,ligand_3134,-10.7,-9.699,-10.59,-10.96,-7.78,1.473,5,1VYW,-10.72
28,ligand_3134,-10.7,-9.699,-10.59,-10.96,-7.78,1.473,5,7RWF,-10.96
28,ligand_3134,-10.7,-9.699,-10.59,-10.96,-7.78,1.473,5,5A14,-10.59
28,ligand_3134,-10.7,-9.699,-10.59,-10.96,-7.78,1.473,5,5IF1,-7.78
28,ligand_3134,-10.7,-9.699,-10.59,-10.96,-7.78,1.473,5,1W98,-8.45
29,ligand_3855,-10.69,-9.697,-9.732,-11.28,-8.17,1.331,5,1VYW,-10.71
29,ligand_3855,-10.69,-9.697,-9.732,-11.28,-8.17,1.331,5,7RWF,-11.28
29,ligand_3855,-10.69,-9.697,-9.732,-11.28,-8.17,1.331,5,5A14,-9.73
29,ligand_3855,-10.69,-9.697,-9.732,-11.28,-8.17,1.331,5,5IF1,-8.17
29,ligand_3855,-10.69,-9.697,-9.732,-11.28,-8.17,1.331,5,1W98,-8.59
