Rank,Ligand,Initial_1VYW_Affinity,Mean_Affinity,Median_Affinity,Best_Affinity,Worst_Affinity,SD_Affinity,Successful_Receptors,1VYW,7RWF,5A14,5IF1,1W98
167,ligand_5194,-11,-8.638,-8.167,-11.02,-7.50,1.371,5,-11.02,-7.50,-8.13,-8.17,-8.38
168,ligand_5403,-10.46,-8.601,-8.609,-10.47,-6.76,1.593,5,-10.47,-9.86,-8.61,-6.76,-7.30
169,ligand_3350,-10.12,-8.591,-8.209,-10.11,-7.25,1.126,5,-10.11,-9.32,-8.21,-7.25,-8.07
170,ligand_7401,-10.17,-8.575,-8.176,-10.40,-7.09,1.456,5,-10.40,-9.78,-8.18,-7.09,-7.42
171,ligand_5912,-10.43,-8.555,-7.553,-10.47,-7.28,1.618,5,-10.47,-10.17,-7.55,-7.30,-7.28
172,ligand_6390,-10.26,-8.549,-8.399,-10.28,-7.69,1.018,5,-10.28,-8.40,-8.44,-7.69,-7.94
173,ligand_411,-10.63,-8.547,-7.526,-10.63,-7.38,1.518,5,-10.63,-9.71,-7.53,-7.38,-7.49
174,ligand_4332,-10.27,-8.514,-8.018,-10.26,-7.35,1.169,5,-10.26,-7.83,-9.11,-8.02,-7.35
175,ligand_3355,-10.63,-8.509,-8.118,-10.63,-7.36,1.247,5,-10.63,-7.36,-8.12,-8.02,-8.42
176,ligand_7557,-10.45,-8.507,-7.546,-10.45,-7.05,1.662,5,-10.45,-10.18,-7.55,-7.30,-7.05
177,ligand_6798,-10.36,-8.473,-8.751,-10.35,-6.89,1.535,5,-10.35,-6.89,-9.44,-6.93,-8.75
178,ligand_1009,-10.72,-8.470,-7.789,-10.76,-7.09,1.561,5,-10.76,-7.79,-7.09,-7.33,-9.38
179,ligand_1964,-10.72,-8.460,-7.894,-10.71,-7.47,1.333,5,-10.71,-7.47,-7.89,-7.61,-8.61
180,ligand_1808,-10.24,-8.434,-8.265,-10.26,-6.88,1.233,5,-10.26,-6.88,-8.27,-7.98,-8.78
181,ligand_2485,-11.04,-8.421,-7.909,-11.05,-7.10,1.527,5,-11.05,-7.10,-7.82,-7.91,-8.23
