Ligand,Affinity
ligand_1026,-8.127
ligand_1027,-6.288
ligand_1028,-9.039
ligand_1029,-9.373
ligand_1030,-9.259
ligand_1031,-5.986
ligand_1032,-8.386
ligand_1033,-5.518
ligand_1034,-6.258
ligand_1035,-8.012
ligand_1036,-8.622
ligand_1037,-7.421
ligand_1038,-6.815
ligand_1039,-6.416
ligand_1040,-7.795
ligand_1041,-6.802
ligand_1042,-7.19
ligand_1043,-8.187
ligand_1044,-7.651
ligand_1045,-8.049
ligand_1046,-6.302
ligand_1047,-7.394
ligand_1048,-6.475
ligand_1049,-5.521
ligand_1050,-5.712
ligand_1051,-7.66
ligand_1052,-7.493
ligand_1053,-6.441
ligand_1054,-10.03
ligand_1055,-6.238
ligand_1056,-7.788
ligand_1057,-8.561
ligand_1058,-4.854
ligand_1059,-6.414
ligand_1060,-9.968
ligand_1061,-6.349
ligand_1062,-8.558
ligand_1063,-6.597
ligand_1064,-9.378
ligand_1065,-4.622
ligand_1066,-2.557
ligand_1067,-6.766
ligand_1068,-6.178
ligand_1069,-7.805
ligand_1070,-6.532
ligand_1071,-8.214
ligand_1072,-6.753
ligand_1073,-7.506
ligand_1074,-7.428
ligand_1075,-8.979
ligand_1076,-8.429
ligand_1077,-8.631
ligand_1078,-6.6
ligand_1079,-5.694
ligand_1080,-9.001
ligand_1081,-8.243
ligand_1082,-7.71
ligand_1083,-8.429
ligand_1084,-9.28
ligand_1085,-10.19
ligand_1086,-6.12
ligand_1087,-6.856
ligand_1088,-7.841
ligand_1089,-9.164
ligand_1090,-5.567
ligand_1091,-5.601
ligand_1092,-5.144
ligand_1093,-8.926
ligand_1094,-8.083
ligand_1095,-3.683
ligand_1096,-6.857
ligand_1097,-9.597
ligand_1098,-7.078
ligand_1099,-10.47
ligand_1100,-7.954
ligand_1101,-9.59
ligand_1102,-5.313
ligand_1103,-6.495
ligand_1104,-5.953
ligand_1105,-6.216
ligand_1106,-8.017
ligand_1107,-5.707
ligand_1108,-6.095
ligand_1109,-9.03
ligand_1110,-7.823
ligand_1111,-7.434
ligand_1112,-6.281
ligand_1113,-7.7
ligand_1114,-3.075
ligand_1115,-5.555
ligand_1116,-6.342
ligand_1117,-5.817
ligand_1118,-3.272
ligand_1119,-4.456
ligand_1120,-7.326
ligand_1121,-6.153
ligand_1122,-6.62
ligand_1123,-7.33
ligand_1124,-9.252
ligand_1125,-6.464
ligand_1126,-6.168
ligand_1127,-6.216
ligand_1128,-9.454
ligand_1129,-4.994
ligand_1130,-6.589
ligand_1131,-5.875
ligand_1132,-6.351
ligand_1133,-5.102
ligand_1134,-8.169
ligand_1135,-6.404
ligand_1136,-7.239
ligand_1137,-8.272
ligand_1138,-5.651
ligand_1139,-8.508
ligand_1140,-8.846
ligand_1141,-6.566
ligand_1142,-9.044
ligand_1143,-4.982
ligand_1144,-4.479
ligand_1145,-5.354
ligand_1146,-6.493
ligand_1147,-7.716
ligand_1148,-7.194
ligand_1149,-6.084
ligand_1150,-8.442
ligand_1151,-7.666
ligand_1152,-9.746
ligand_1153,-2.632
ligand_1154,-7.471
ligand_1155,-6.303
ligand_1156,-8.054
ligand_1157,-7.525
ligand_1158,-5.538
ligand_1159,-7.094
ligand_1160,-5.107
ligand_1161,-8.619
ligand_1162,-8.535
